artist_name,album_name,track_name,ts,is_non_music,hour,day_of_week,month,year,play_count
Edwin Starr,25 Miles,Twenty Five Miles,2021-05-25 23:18:00,False,23,Tuesday,5,2021,2
Greyhounds,Change of Pace,Devil's Eyes,2021-05-25 23:15:00,False,23,Tuesday,5,2021,3
Murs,Have a Nice Life,Pussy and Pizza,2021-05-25 23:12:00,False,23,Tuesday,5,2021,3
King Green,Opera (feat. Method Man),Opera (feat. Method Man),2021-05-25 23:08:00,False,23,Tuesday,5,2021,2
Mouthe,NUVO,Sweet Potato,2021-05-25 23:05:00,False,23,Tuesday,5,2021,1
The Presidents of the United States of America,Freaked Out And Small,Meanwhile Back in the City,2021-05-25 23:01:00,False,23,Tuesday,5,2021,4
Honey Hounds,No Sleep,Spinach,2021-05-25 22:56:00,False,22,Tuesday,5,2021,4
Moontricks,All I Know,All I Know,2021-05-25 22:50:00,False,22,Tuesday,5,2021,2
The Heavy,Great Vengeance and Furious Fire,Our Special Place,2021-05-25 22:46:00,False,22,Tuesday,5,2021,4
Daily Bread,Big Beat Ignition: Denver,Moreland Ave Blues,2021-05-25 22:43:00,False,22,Tuesday,5,2021,2
Perfect Confusion,Perfect Confusion,Make Peace and be Free,2021-05-25 22:39:00,False,22,Tuesday,5,2021,5
Zach Deputy,Wash It in the Water,Put It In The Boogie,2021-05-25 22:35:00,False,22,Tuesday,5,2021,5
Tom Petty,Highway Companion,Saving Grace,2021-05-25 21:59:00,False,21,Tuesday,5,2021,5
Macklemore,The Heist (Deluxe Edition),Wing$,2021-05-25 20:09:00,False,20,Tuesday,5,2021,4
Macklemore,The Heist (Deluxe Edition),Jimmy Iovine (feat. Ab-Soul),2021-05-25 20:05:00,False,20,Tuesday,5,2021,3
Macklemore,The Heist (Deluxe Edition),White Walls (feat. ScHoolBoy Q & Hollis),2021-05-25 20:01:00,False,20,Tuesday,5,2021,1
Macklemore,The Heist (Deluxe Edition),Bombom (feat. The Teaching),2021-05-25 19:56:00,False,19,Tuesday,5,2021,4
Macklemore,The Heist (Deluxe Edition),Neon Cathedral (feat. Allen Stone),2021-05-25 19:52:00,False,19,Tuesday,5,2021,6
Macklemore,The Heist (Deluxe Edition),Make the Money,2021-05-25 19:48:00,False,19,Tuesday,5,2021,3
Macklemore,The Heist (Deluxe Edition),Same Love (feat. Mary Lambert),2021-05-25 19:43:00,False,19,Tuesday,5,2021,5
Macklemore,The Heist (Deluxe Edition),Thin Line (feat. Buffalo Madonna),2021-05-25 19:38:00,False,19,Tuesday,5,2021,4
Macklemore,The Heist (Deluxe Edition),Thrift Shop (feat. Wanz),2021-05-25 19:34:00,False,19,Tuesday,5,2021,6
Macklemore,The Heist (Deluxe Edition),Can't Hold Us (feat. Ray Dalton),2021-05-25 19:30:00,False,19,Tuesday,5,2021,20
Macklemore,The Heist (Deluxe Edition),Ten Thousand Hours,2021-05-25 19:26:00,False,19,Tuesday,5,2021,6
X-Ecutioners,Built From Scratch,It's Goin' Down (feat. Mike Shinoda & Mr. Hahn),2021-05-25 19:15:00,False,19,Tuesday,5,2021,11
Tom Petty,Highway Companion,Saving Grace,2021-05-25 18:49:00,False,18,Tuesday,5,2021,5
Finger Eleven,Them vs. You vs. Me (Deluxe Edition),Paralyzer,2021-05-25 18:46:00,False,18,Tuesday,5,2021,35
Pink Floyd,The Wall,Stop,2021-05-25 18:45:00,False,18,Tuesday,5,2021,8
Queen,Hot Space (2011 Remaster),Under Pressure - Remastered 2011,2021-05-25 18:41:00,False,18,Tuesday,5,2021,6
Highly Suspect,Mister Asylum,Lydia,2021-05-25 18:37:00,False,18,Tuesday,5,2021,72
Fleetwood Mac,Rumours (Super Deluxe),The Chain - 2004 Remaster,2021-05-25 18:33:00,False,18,Tuesday,5,2021,10
Muse,The Resistance,Uprising,2021-05-25 18:27:00,False,18,Tuesday,5,2021,1
Pink Floyd,The Dark Side of the Moon,Eclipse,2021-05-25 18:25:00,False,18,Tuesday,5,2021,10
The Guess Who,American Woman,No Sugar Tonight / New Mother Nature,2021-05-25 18:20:00,False,18,Tuesday,5,2021,3
X-Ecutioners,Built From Scratch,It's Goin' Down (feat. Mike Shinoda & Mr. Hahn),2021-05-25 18:16:00,False,18,Tuesday,5,2021,11
Styx,The Grand Illusion,Come Sail Away,2021-05-25 18:10:00,False,18,Tuesday,5,2021,8
Ted Nugent,Ted Nugent,Stranglehold,2021-05-25 18:02:00,False,18,Tuesday,5,2021,15
Journey,Escape,Don't Stop Believin',2021-05-25 17:57:00,False,17,Tuesday,5,2021,26
Queen,News Of The World (Deluxe Remastered Version),We Will Rock You - Remastered,2021-05-25 17:54:00,False,17,Tuesday,5,2021,6
Men at Work,Business As Usual,Down Under,2021-05-25 17:54:00,False,17,Tuesday,5,2021,51
The Clash,Combat Rock (Remastered),Should I Stay or Should I Go - remastered,2021-05-25 17:49:00,False,17,Tuesday,5,2021,23
The Raconteurs,Consolers of the Lonely,Salute Your Solution,2021-05-25 17:44:00,False,17,Tuesday,5,2021,26
Finger Eleven,Them vs. You vs. Me (Deluxe Edition),Paralyzer,2021-05-25 17:40:00,False,17,Tuesday,5,2021,35
Yes,90125 (Deluxe Version),Owner of a Lonely Heart,2021-05-25 17:36:00,False,17,Tuesday,5,2021,15
Pink Floyd,The Wall,Stop,2021-05-25 17:35:00,False,17,Tuesday,5,2021,8
Chuck Berry,Berry Is On Top,Johnny B. Goode,2021-05-25 17:33:00,False,17,Tuesday,5,2021,59
Tom Petty,Highway Companion,Saving Grace,2021-05-25 17:29:00,False,17,Tuesday,5,2021,5
That 1 Guy,The Moon Is Disgusting,The Moon Is Disgusting,2021-05-25 17:23:00,False,17,Tuesday,5,2021,36
Muse,Origin of Symmetry,Feeling Good,2021-05-25 17:20:00,False,17,Tuesday,5,2021,58
X-Ecutioners,Built From Scratch,It's Goin' Down (feat. Mike Shinoda & Mr. Hahn),2021-05-25 17:16:00,False,17,Tuesday,5,2021,11
Genesis,We Can't Dance,Since I Lost You,2021-05-25 17:11:00,False,17,Tuesday,5,2021,36
Queen,Hot Space (2011 Remaster),Under Pressure - Remastered 2011,2021-05-25 17:07:00,False,17,Tuesday,5,2021,6
The Guess Who,American Woman,No Sugar Tonight / New Mother Nature,2021-05-25 17:02:00,False,17,Tuesday,5,2021,3
Genesis,Genesis,Just a Job to Do - 2007 Remaster,2021-05-25 17:02:00,False,17,Tuesday,5,2021,11
Journey,Escape,Don't Stop Believin',2021-05-25 16:21:00,False,16,Tuesday,5,2021,26
Muse,Black Holes and Revelations,Knights of Cydonia,2021-05-25 16:15:00,False,16,Tuesday,5,2021,19
Muse,Black Holes and Revelations,Take a Bow,2021-05-25 16:10:00,False,16,Tuesday,5,2021,49
